
2025/03/15 (10:13:35) | ===> btop++ v.1.4.0
2025/03/15 (10:13:35) | WARNING: Failed to join _runner thread on exit!

2025/03/15 (20:19:00) | ===> btop++ v.1.4.0
2025/03/15 (20:19:00) | WARNING: Failed to join _runner thread on exit!

2025/03/15 (20:22:35) | ===> btop++ v.1.4.0
2025/03/15 (20:22:35) | WARNING: Failed to join _runner thread on exit!

2025/03/15 (20:52:28) | ===> btop++ v.1.4.0
2025/03/15 (20:52:28) | WARNING: Failed to join _runner thread on exit!

2025/03/15 (20:56:00) | ===> btop++ v.1.4.0
2025/03/15 (20:56:00) | WARNING: Failed to join _runner thread on exit!
